product_id,brand,product_name,source_type,source_domain,source_url
logitech-casa-pop-up-desk,Logitech,Casa Pop-Up Desk,official product page,logitech.com,https://www.logitech.com/en-us/shop/p/casa-pop-up-desk
closca-loop-helmet,Closca,Loop Helmet,official product page,closca.com,https://closca.com/en-us/products/loop-aurora-abyss
fend-fend-one-helmet,FEND,FEND One Helmet,official product page,fend.io,https://fend.io/products/fend-helmet
microsoft-surface-arc-mouse,Microsoft,Surface Arc Mouse,official product page,microsoft.com,https://www.microsoft.com/en-us/d/surface-arc-mouse-black/8nr554s5qxn7
asus-zenbook-17-fold-oled,ASUS,Zenbook 17 Fold OLED,official press release,asus.com,https://www.asus.com/us/news/s7pu8a5n2p8gfrpi/
lenovo-thinkpad-x1-fold,Lenovo,ThinkPad X1 Fold,official product page,lenovo.com,https://www.lenovo.com/us/en/thinkpad-x1-fold/
audio-technica-ath-m50x,Audio-Technica,ATH-M50x,official product page,audio-technica.com,https://www.audio-technica.com/en-eu/ath-m50x
audio-technica-ath-m50xbt2,Audio-Technica,ATH-M50xBT2,official press release,audio-technica.com,https://www.audio-technica.com/en-us/press/audio-technica-updates-flagship-wireless-ath-m50x-model-with-ath-m50xbt2-wireless-over-ear-headphones/
beats-solo-4,Beats,Solo 4,official product page,beatsbydre.com,https://www.beatsbydre.com/headphones/solo4-wireless
jabra-elite-85h,Jabra,Elite 85h,official support page,jabra.com,https://www.jabra.com/supportpages/jabra-elite-85h/100-99030004-02/faq/how-do-i-turn-on_off-my-jabra-elite-85h
marshall-major-v,Marshall,Major V,official product page,marshall.com,https://www.marshall.com/us/en/product/major-v
sony-wh-1000xm4,Sony,WH-1000XM4,official product page,sony.com,https://www.sony.com/lr/electronics/headband-headphones/wh-1000xm4
brompton-c-line,Brompton,C Line,official product page,us.brompton.com,https://us.brompton.com/c-line
oru-kayak-inlet,Oru Kayak,Inlet,official product page,orukayak.com,https://www.orukayak.com/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners
foldscope-instruments-foldscope-paper-microscope,Foldscope Instruments,Foldscope Paper Microscope,official product page,foldscope.com,https://foldscope.com/
overade-plixi-foldable-helmet,Overade,Plixi Foldable Helmet,official product page,overade.com,https://overade.com/en/products/plixi-foldable-urban-bike-helmet
sea-to-summit-x-cup,Sea to Summit,X-Cup,official product page,seatosummit.com,https://seatosummit.com/products/x-cup
stojo-collapsible-cup,Stojo,Collapsible Cup,official product page,stojo.co,https://stojo.co/products/cup
hydrapak-stow,HydraPak,Stow,official product page,hydrapak.com,https://hydrapak.com/products/stow-500-ml-2021
bose-quietcomfort-ultra-headphones-2nd-gen,Bose,QuietComfort Ultra Headphones (2nd Gen),official product page,bose.com,https://www.bose.com/p/headphones/bose-quietcomfort-ultra-headphones-2nd-gen/QCUH2-HEADPHONEARN.html
jackery-solarsaga-100w,Jackery,SolarSaga 100W,official product page,jackery.com,https://www.jackery.com/products/solarsaga-100w-solar-panel
montague-boston,Montague,Boston,official product page,montaguebikes.com,https://www.montaguebikes.com/product/boston/
montague-navigator,Montague,Navigator,official product page,montaguebikes.com,https://www.montaguebikes.com/product/navigator/
montague-paratrooper,Montague,Paratrooper,official product page,montaguebikes.com,https://www.montaguebikes.com/product/paratrooper/
montague-paratrooper-elite,Montague,Paratrooper Elite,official product page,montaguebikes.com,https://www.montaguebikes.com/product/paratrooper-elite/
montague-paratrooper-express,Montague,Paratrooper Express,official product page,montaguebikes.com,https://www.montaguebikes.com/product/paratrooper-express/
montague-paratrooper-highline,Montague,Paratrooper Highline,official product page,montaguebikes.com,https://www.montaguebikes.com/product/paratrooper-highline/
montague-paratrooper-pro,Montague,Paratrooper Pro,official product page,montaguebikes.com,https://www.montaguebikes.com/product/paratrooper-pro/
tern-link-d8,Tern,Link D8,official product page,ternbicycles.com,https://www.ternbicycles.com/us/bikes/472/link-d8
gocycle-g4,Gocycle,G4,official product page,gocycle.com,https://gocycle.com/models/g4/
montague-m-e1,Montague,M-E1,official product page,montaguebikes.com,https://www.montaguebikes.com/product/m-e1/
tucktec-folding-kayak,Tucktec,Folding Kayak,official product page,tucktec.com,https://tucktec.com/products/tucktec-folding-kayak
moft-snap-phone-stand-and-wallet,MOFT,Snap Phone Stand and Wallet,official product page,moft.us,https://www.moft.us/products/moft-snap-on-phone-stand-wallet-magsafe-compatible
helinox-chair-one,Helinox,Chair One,official product page,helinox.com,https://helinox.com/products/chair-one
vapur-anti-bottle,Vapur,Anti-Bottle,official site,vapur.us,https://vapur.us/
beats-studio-pro,Beats,Studio Pro,official product page,beatsbydre.com,https://www.beatsbydre.com/headphones/studio-pro-wireless
samsung-galaxy-z-flip,Samsung,Galaxy Z Flip,official product family page,samsung.com,https://www.samsung.com/us/smartphones/galaxy-z-flip/
samsung-galaxy-z-fold,Samsung,Galaxy Z Fold,official product family page,samsung.com,https://www.samsung.com/us/smartphones/galaxy-z-fold/
goal-zero-nomad-solar-panel,Goal Zero,Nomad Solar Panel,official product family page,goalzero.com,https://www.goalzero.com/collections/portable-solar-panels
dji-mavic-series,DJI,Mavic Series,official product family page,dji.com,https://www.dji.com/products/camera-drones
lifetime-folding-table,Lifetime,Folding Table,official product family page,lifetime.com,https://www.lifetime.com/folding-tables
lg-signature-oled-r,LG,SIGNATURE OLED R,official product family page,lg.com,https://www.lg.com/us/tvs/lg-oled65r1pua-signature-oled-4k-tv
intex-dura-beam-air-mattress,Intex,Dura-Beam Air Mattress,official product family page,intexcorp.com,https://intexcorp.com/products/airbeds/
